,state,year,population
0,Alabama,2010,4785579
1,Alabama,2011,4798649
2,Alabama,2012,4813946
3,Alabama,2013,4827660
4,Alabama,2014,4840037
5,Alabama,2015,4850858
6,Alabama,2016,4860545
7,Alabama,2017,4874747
8,Alabama,2018,4887681
9,Alabama,2019,4903185
10,Alaska,2010,714015
11,Alaska,2011,722259
12,Alaska,2012,730825
13,Alaska,2013,736760
14,Alaska,2014,736759
15,Alaska,2015,737979
16,Alaska,2016,741522
17,Alaska,2017,739795
18,Alaska,2018,735139
19,Alaska,2019,731545
20,Arizona,2010,6407002
21,Arizona,2011,6465488
22,Arizona,2012,6544211
23,Arizona,2013,6616124
24,Arizona,2014,6706435
25,Arizona,2015,6802262
26,Arizona,2016,6908642
27,Arizona,2017,7016270
28,Arizona,2018,7158024
29,Arizona,2019,7278717
30,Arkansas,2010,2921737
31,Arkansas,2011,2938640
32,Arkansas,2012,2949208
33,Arkansas,2013,2956780
34,Arkansas,2014,2964800
35,Arkansas,2015,2975626
36,Arkansas,2016,2988231
37,Arkansas,2017,3004279
38,Arkansas,2018,3009733
39,Arkansas,2019,3017804
40,California,2010,37327690
41,California,2011,37672654
42,California,2012,38019006
43,California,2013,38347383
44,California,2014,38701278
45,California,2015,39032444
46,California,2016,39296476
47,California,2017,39536653
48,California,2018,39461588
49,California,2019,39512223
50,Colorado,2010,5048029
51,Colorado,2011,5116411
52,Colorado,2012,5186330
53,Colorado,2013,5262556
54,Colorado,2014,5342311
55,Colorado,2015,5440445
56,Colorado,2016,5530105
57,Colorado,2017,5607154
58,Colorado,2018,5691287
59,Colorado,2019,5758736
60,Connecticut,2010,3580171
61,Connecticut,2011,3591927
62,Connecticut,2012,3597705
63,Connecticut,2013,3602470
64,Connecticut,2014,3600188
65,Connecticut,2015,3593862
66,Connecticut,2016,3587685
67,Connecticut,2017,3588184
68,Connecticut,2018,3571520
69,Connecticut,2019,3565287
70,Delaware,2010,899712
71,Delaware,2011,907884
72,Delaware,2012,916868
73,Delaware,2013,925114
74,Delaware,2014,934805
75,Delaware,2015,944107
76,Delaware,2016,952698
77,Delaware,2017,961939
78,Delaware,2018,965479
79,Delaware,2019,973764
80,District of Columbia,2010,605040
81,District of Columbia,2011,620336
82,District of Columbia,2012,635630
83,District of Columbia,2013,650114
84,District of Columbia,2014,660797
85,District of Columbia,2015,672736
86,District of Columbia,2016,684336
87,District of Columbia,2017,693972
88,District of Columbia,2018,701547
89,District of Columbia,2019,705749
90,Florida,2010,18846461
91,Florida,2011,19097369
92,Florida,2012,19341327
93,Florida,2013,19584927
94,Florida,2014,19897747
95,Florida,2015,20268567
96,Florida,2016,20656589
97,Florida,2017,20984400
98,Florida,2018,21244317
99,Florida,2019,21477737
100,Georgia,2010,9712696
101,Georgia,2011,9810595
102,Georgia,2012,9911171
103,Georgia,2013,9981773
104,Georgia,2014,10083850
105,Georgia,2015,10199533
106,Georgia,2016,10313620
107,Georgia,2017,10429379
108,Georgia,2018,10511131
109,Georgia,2019,10617423
110,Hawaii,2010,1363817
111,Hawaii,2011,1378323
112,Hawaii,2012,1392772
113,Hawaii,2013,1408038
114,Hawaii,2014,1417710
115,Hawaii,2015,1426320
116,Hawaii,2016,1428683
117,Hawaii,2017,1427538
118,Hawaii,2018,1420593
119,Hawaii,2019,1415872
120,Idaho,2010,1570912
121,Idaho,2011,1583180
122,Idaho,2012,1594673
123,Idaho,2013,1610187
124,Idaho,2014,1630391
125,Idaho,2015,1649324
126,Idaho,2016,1680026
127,Idaho,2017,1716943
128,Idaho,2018,1750536
129,Idaho,2019,1787065
130,Illinois,2010,12841196
131,Illinois,2011,12862298
132,Illinois,2012,12878494
133,Illinois,2013,12890403
134,Illinois,2014,12882438
135,Illinois,2015,12862051
136,Illinois,2016,12835726
137,Illinois,2017,12802023
138,Illinois,2018,12723071
139,Illinois,2019,12671821
140,Indiana,2010,6490029
141,Indiana,2011,6515358
142,Indiana,2012,6535665
143,Indiana,2013,6567484
144,Indiana,2014,6593182
145,Indiana,2015,6610596
146,Indiana,2016,6634007
147,Indiana,2017,6666818
148,Indiana,2018,6695497
149,Indiana,2019,6732219
150,Iowa,2010,3050223
151,Iowa,2011,3063690
152,Iowa,2012,3074386
153,Iowa,2013,3089876
154,Iowa,2014,3105563
155,Iowa,2015,3118473
156,Iowa,2016,3130869
157,Iowa,2017,3145711
158,Iowa,2018,3148618
159,Iowa,2019,3155070
160,Kansas,2010,2858403
161,Kansas,2011,2868756
162,Kansas,2012,2885316
163,Kansas,2013,2892900
164,Kansas,2014,2899553
165,Kansas,2015,2905789
166,Kansas,2016,2907731
167,Kansas,2017,2913123
168,Kansas,2018,2911359
169,Kansas,2019,2913314
170,Kentucky,2010,4347948
171,Kentucky,2011,4368505
172,Kentucky,2012,4383673
173,Kentucky,2013,4399121
174,Kentucky,2014,4410415
175,Kentucky,2015,4422057
176,Kentucky,2016,4436113
177,Kentucky,2017,4454189
178,Kentucky,2018,4461153
179,Kentucky,2019,4467673
180,Louisiana,2010,4544871
181,Louisiana,2011,4574388
182,Louisiana,2012,4602681
183,Louisiana,2013,4626795
184,Louisiana,2014,4648797
185,Louisiana,2015,4671211
186,Louisiana,2016,4686157
187,Louisiana,2017,4684333
188,Louisiana,2018,4659690
189,Louisiana,2019,4648794
190,Maine,2010,1327568
191,Maine,2011,1327968
192,Maine,2012,1328101
193,Maine,2013,1327975
194,Maine,2014,1328903
195,Maine,2015,1327787
196,Maine,2016,1330232
197,Maine,2017,1335907
198,Maine,2018,1339057
199,Maine,2019,1344212
200,Maryland,2010,5788099
201,Maryland,2011,5843115
202,Maryland,2012,5891680
203,Maryland,2013,5932654
204,Maryland,2014,5970245
205,Maryland,2015,6000561
206,Maryland,2016,6024752
207,Maryland,2017,6052177
208,Maryland,2018,6035802
209,Maryland,2019,6045680
210,Massachusetts,2010,6564943
211,Massachusetts,2011,6612178
212,Massachusetts,2012,6659627
213,Massachusetts,2013,6711138
214,Massachusetts,2014,6757925
215,Massachusetts,2015,6794002
216,Massachusetts,2016,6823721
217,Massachusetts,2017,6859819
218,Massachusetts,2018,6882635
219,Massachusetts,2019,6892503
220,Michigan,2010,9876731
221,Michigan,2011,9876199
222,Michigan,2012,9886610
223,Michigan,2013,9899219
224,Michigan,2014,9914675
225,Michigan,2015,9918170
226,Michigan,2016,9933445
227,Michigan,2017,9962311
228,Michigan,2018,9984072
229,Michigan,2019,9986857
